id	title	description	availability	condition	price	link	image_link	brand	google_product_category	product_type	custom_label_0	custom_label_1	custom_label_2
cosmik-dado-d-d	Dado D&D	Dado D&D de Cosmik. Vela artesanal hecha a mano. Medidas aproximadas: 8.5cm diámetro x 8.5cm alto. Producto on-demand y personalizable en esencia, color y acabado.	in stock	new	45000 COP	https://www.wearecosmik.com/product-page/dado-d-d	https://static.wixstatic.com/media/ce53cb_e936800f68a04a58945dedc68d18eb8e~mv2.png/v1/fill/w_498,h_758,al_c,q_90,usm_0.66_1.00_0.01,enc_avif,quality_auto/ce53cb_e936800f68a04a58945dedc68d18eb8e~mv2.png	Cosmik	Home & Garden > Decor > Home Fragrances > Candles	Velas	On-demand	Personalizable	Seccion Velas web 2026-05-19
cosmik-pan-baguette	Pan Baguette	Pan Baguette de Cosmik. Vela artesanal hecha a mano. Medidas aproximadas: 9cm diámetro x 3cm alto. Producto on-demand y personalizable en esencia, color y acabado.	in stock	new	10000 COP	https://www.wearecosmik.com/product-page/pan-baguette	https://static.wixstatic.com/media/ce53cb_ec3ef0bdf65c4c0ab58cb3c3f832279f~mv2.png/v1/fill/w_498,h_753,al_c,q_90,usm_0.66_1.00_0.01,enc_avif,quality_auto/ce53cb_ec3ef0bdf65c4c0ab58cb3c3f832279f~mv2.png	Cosmik	Home & Garden > Decor > Home Fragrances > Candles	Velas	On-demand	Personalizable	Seccion Velas web 2026-05-19
cosmik-corazon-flor-grande	Corazón Flor (Grande)	Corazón Flor (Grande) de Cosmik. Vela artesanal hecha a mano. Medidas aproximadas: 8cm diámetro x 3cm alto. Producto on-demand y personalizable en esencia, color y acabado.	in stock	new	25000 COP	https://www.wearecosmik.com/product-page/corazón-flor-grande	https://static.wixstatic.com/media/ce53cb_15fa45fb39cf42e2a729d64917e63cc7~mv2.png/v1/fill/w_411,h_614,al_c,lg_1,q_85,enc_avif,quality_auto/ce53cb_15fa45fb39cf42e2a729d64917e63cc7~mv2.png	Cosmik	Home & Garden > Decor > Home Fragrances > Candles	Velas	On-demand	Personalizable	Seccion Velas web 2026-05-19
cosmik-corazon-flor	Corazón Flor (Chiqui)	Corazón Flor (Chiqui) de Cosmik. Vela artesanal hecha a mano. Medidas aproximadas: 5cm diámetro x 3cm alto. Producto on-demand y personalizable en esencia, color y acabado.	in stock	new	15000 COP	https://www.wearecosmik.com/product-page/corazón-flor	https://static.wixstatic.com/media/ce53cb_5c6b500653a94867814eedd7310e1c0f~mv2.png/v1/fill/w_498,h_743,al_c,q_90,usm_0.66_1.00_0.01,enc_avif,quality_auto/ce53cb_5c6b500653a94867814eedd7310e1c0f~mv2.png	Cosmik	Home & Garden > Decor > Home Fragrances > Candles	Velas	On-demand	Personalizable	Seccion Velas web 2026-05-19
cosmik-cupcake-con-merengue	Cupcake con Merengue y Amor	Cupcake con Merengue y Amor de Cosmik. Vela artesanal hecha a mano. Medidas aproximadas: 5.5cm diámetro x 9cm alto. Producto on-demand y personalizable en esencia, color y acabado.	in stock	new	35000 COP	https://www.wearecosmik.com/product-page/cupcake-con-merengue	https://static.wixstatic.com/media/ce53cb_8b534939a98e47e0af2b12bf4128405c~mv2.jpg/v1/fill/w_498,h_743,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/ce53cb_8b534939a98e47e0af2b12bf4128405c~mv2.jpg	Cosmik	Home & Garden > Decor > Home Fragrances > Candles	Velas	On-demand	Personalizable	Seccion Velas web 2026-05-19
cosmik-gelatina-con-fresa	Gelatina con Fresa	Gelatina con Fresa de Cosmik. Vela artesanal hecha a mano. Medidas aproximadas: 7cm diámetro x 10cm alto. Producto on-demand y personalizable en esencia, color y acabado.	in stock	new	35000 COP	https://www.wearecosmik.com/product-page/gelatina-con-fresa	https://static.wixstatic.com/media/ce53cb_8db8e24d7276443b9a4954f48ce56cbc~mv2.png/v1/fill/w_498,h_743,al_c,q_90,usm_0.66_1.00_0.01,enc_avif,quality_auto/ce53cb_8db8e24d7276443b9a4954f48ce56cbc~mv2.png	Cosmik	Home & Garden > Decor > Home Fragrances > Candles	Velas	On-demand	Personalizable	Seccion Velas web 2026-05-19
cosmik-dado-mario	Dado Mario	Dado Mario de Cosmik. Vela artesanal hecha a mano. Medidas aproximadas: 7cm diámetro x 7cm alto. Producto on-demand y personalizable en esencia, color y acabado.	in stock	new	45000 COP	https://www.wearecosmik.com/product-page/dado-mario	https://static.wixstatic.com/media/ce53cb_03b7bf7428c34a8798172aec3761355e~mv2.png/v1/fill/w_498,h_902,al_c,q_90,usm_0.66_1.00_0.01,enc_avif,quality_auto/ce53cb_03b7bf7428c34a8798172aec3761355e~mv2.png	Cosmik	Home & Garden > Decor > Home Fragrances > Candles	Velas	On-demand	Personalizable	Seccion Velas web 2026-05-19
cosmik-splash	Splash	Splash de Cosmik. Vela artesanal hecha a mano. Medidas aproximadas: 8cm diámetro x 8cm alto. Producto on-demand y personalizable en esencia, color y acabado.	in stock	new	60000 COP	https://www.wearecosmik.com/product-page/splash	https://static.wixstatic.com/media/ce53cb_cf866b999a5349edb6b7910906521295~mv2.png/v1/fill/w_498,h_605,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/ce53cb_cf866b999a5349edb6b7910906521295~mv2.png	Cosmik	Home & Garden > Decor > Home Fragrances > Candles	Velas	On-demand	Personalizable	Seccion Velas web 2026-05-19
cosmik-banana	Banana	Banana de Cosmik. Vela artesanal hecha a mano. Medidas aproximadas: 8cm diámetro x 8cm alto. Producto on-demand y personalizable en esencia, color y acabado.	in stock	new	60000 COP	https://www.wearecosmik.com/product-page/banana	https://static.wixstatic.com/media/ce53cb_6d6e0835adf04b9bb676154fa99459d8~mv2.jpg/v1/fill/w_498,h_668,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/ce53cb_6d6e0835adf04b9bb676154fa99459d8~mv2.jpg	Cosmik	Home & Garden > Decor > Home Fragrances > Candles	Velas	On-demand	Personalizable	Seccion Velas web 2026-05-19
cosmik-pollo	Pollo	Pollo de Cosmik. Vela artesanal hecha a mano. Medidas aproximadas: 6.5cm diámetro x 3cm alto. Producto on-demand y personalizable en esencia, color y acabado.	in stock	new	15000 COP	https://www.wearecosmik.com/product-page/pollo	https://static.wixstatic.com/media/ce53cb_77d9164f16b843edadcffe64cbc300d5~mv2.jpg/v1/fill/w_498,h_619,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/ce53cb_77d9164f16b843edadcffe64cbc300d5~mv2.jpg	Cosmik	Home & Garden > Decor > Home Fragrances > Candles	Velas	On-demand	Personalizable	Seccion Velas web 2026-05-19
cosmik-copy-of-aguacate	Queso	Queso de Cosmik. Vela artesanal hecha a mano. Medidas aproximadas: 5cm diámetro x 5cm alto. Producto on-demand y personalizable en esencia, color y acabado.	in stock	new	35000 COP	https://www.wearecosmik.com/product-page/copy-of-aguacate	https://static.wixstatic.com/media/ce53cb_c9ce3524b4b24f12ac684bad96f58c48~mv2.jpg/v1/fill/w_498,h_743,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/ce53cb_c9ce3524b4b24f12ac684bad96f58c48~mv2.jpg	Cosmik	Home & Garden > Decor > Home Fragrances > Candles	Velas	On-demand	Personalizable	Seccion Velas web 2026-05-19
cosmik-bouquet-coqueto	Bouquet Coqueto	Bouquet Coqueto de Cosmik. Vela artesanal hecha a mano. Medidas aproximadas: 16cm diámetro x 10cm alto. Producto on-demand y personalizable en esencia, color y acabado. Para bouquets, confirmar tipo/estilo de flores y etiqueta.	in stock	new	50000 COP	https://www.wearecosmik.com/product-page/bouquet-coqueto	https://static.wixstatic.com/media/ce53cb_430078e0d05e4b0b8828eeabf4f72a81~mv2.jpg/v1/fill/w_498,h_707,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/ce53cb_430078e0d05e4b0b8828eeabf4f72a81~mv2.jpg	Cosmik	Home & Garden > Decor > Home Fragrances > Candles	Velas > Bouquets de cera	On-demand	Personalizable	Seccion Velas web 2026-05-19
cosmik-bouquet-de-flores-corazon	Bouquet de Flores Corazón	Bouquet de Flores Corazón de Cosmik. Vela artesanal hecha a mano. Medidas aproximadas: 30cm diámetro x 30cm alto. Producto on-demand y personalizable en esencia, color y acabado. Para bouquets, confirmar tipo/estilo de flores y etiqueta.	in stock	new	100000 COP	https://www.wearecosmik.com/product-page/bouquet-de-flores-corazón	https://static.wixstatic.com/media/ce53cb_7b91597519504a3e817b8c5895b7027f~mv2.jpg/v1/fill/w_498,h_704,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/ce53cb_7b91597519504a3e817b8c5895b7027f~mv2.jpg	Cosmik	Home & Garden > Decor > Home Fragrances > Candles	Velas > Bouquets de cera	On-demand	Personalizable	Seccion Velas web 2026-05-19
cosmik-macarrones-de-amor	Macarrones de Amor	Macarrones de Amor de Cosmik. Vela artesanal hecha a mano. Medidas aproximadas: 4cm diámetro x 5cm alto. Producto on-demand y personalizable en esencia, color y acabado.	in stock	new	15000 COP	https://www.wearecosmik.com/product-page/macarrones-de-amor	https://static.wixstatic.com/media/ce53cb_f01f58049c1f497ba2329628c0c2f39f~mv2.jpg/v1/fill/w_498,h_668,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/ce53cb_f01f58049c1f497ba2329628c0c2f39f~mv2.jpg	Cosmik	Home & Garden > Decor > Home Fragrances > Candles	Velas	On-demand	Personalizable	Seccion Velas web 2026-05-19
cosmik-macarrones	Macarrones	Macarrones de Cosmik. Vela artesanal hecha a mano. Medidas aproximadas: 4cm diámetro x 5cm alto. Producto on-demand y personalizable en esencia, color y acabado.	in stock	new	15000 COP	https://www.wearecosmik.com/product-page/macarrones	https://static.wixstatic.com/media/ce53cb_5ad2d992a5684beb9bf5ef3e3bcd4e69~mv2.png/v1/fill/w_498,h_743,al_c,q_90,usm_0.66_1.00_0.01,enc_avif,quality_auto/ce53cb_5ad2d992a5684beb9bf5ef3e3bcd4e69~mv2.png	Cosmik	Home & Garden > Decor > Home Fragrances > Candles	Velas	On-demand	Personalizable	Seccion Velas web 2026-05-19
